Player,Squad,League,Nation,Primary_Pos,Age_Years,MP,Min,Gls,Ast,G+A,Gls_p90,Ast_p90,GA_p90,Sh_p90,SoT_p90,Int_p90,Crs_p90,Fld_p90,G_Sh,CrdY,CrdR,Attacker_Index,Creator_Index,Defensive_Index,Overall_Index,Archetype_V2,Hidden_Gem,WC_Watchlist_V2
Aymeric Laporte,Athletic Club,La Liga,ESP,DF,31.0,23,1878,0,1,1,0.0,0.0478468899521531,0.0478468899521531,0.7177033492822967,0.2392344497607655,0.0956937799043062,0.0956937799043062,0.6220095693779905,0.0,4.0,0.0,35.7,39.9,54.8,78.0,Defensive Anchor,False,True
Diego Moreira,Strasbourg,Ligue 1,BEL,MF,21.0,25,1873,3,4,7,0.1442307692307692,0.1923076923076923,0.3365384615384615,1.3942307692307692,0.5288461538461539,0.0961538461538461,4.278846153846153,1.2980769230769231,0.14,4.0,0.0,57.9,66.5,71.6,60.5,Winger,False,False
Cristian Romero,Tottenham Hotspur,Premier League,ARG,DF,28.0,23,1868,4,1,5,0.1923076923076923,0.048076923076923,0.2403846153846153,0.8173076923076923,0.2884615384615384,0.1442307692307692,0.048076923076923,0.7692307692307692,0.24,11.0,2.0,40.0,35.9,61.4,77.0,Defensive Anchor,False,True
Leon Goretzka,Bayern Munich,Bundesliga,GER,MF,31.0,30,1865,5,2,7,0.2415458937198067,0.0966183574879227,0.3381642512077294,1.6908212560386473,0.5314009661835749,0.0966183574879227,0.3381642512077294,0.7729468599033816,0.14,4.0,0.0,70.5,35.1,72.0,76.0,Deep-Lying Creator,False,True
Alexander Sørloth,Atlético Madrid,La Liga,NOR,FW,30.0,32,1860,12,0,12,0.5797101449275363,0.0,0.5797101449275363,3.285024154589372,1.6908212560386473,0.0,0.4830917874396135,0.7729468599033816,0.19,4.0,1.0,64.7,23.7,26.1,68.0,Pure Goal Scorer,False,False
Ferrán Torres,Barcelona,La Liga,ESP,FW,26.0,31,1854,16,1,17,0.7766990291262136,0.0485436893203883,0.8252427184466019,3.349514563106796,1.7961165048543688,0.0,0.145631067961165,0.9708737864077668,0.23,2.0,0.0,80.9,30.7,31.7,66.9,Pure Goal Scorer,False,False
Xaver Schlager,RB Leipzig,Bundesliga,AUT,MF,28.0,26,1837,3,1,4,0.1470588235294117,0.0490196078431372,0.196078431372549,1.0294117647058825,0.3431372549019608,0.0,0.5392156862745099,0.7843137254901962,0.14,6.0,0.0,51.8,22.6,15.6,30.3,Deep-Lying Creator,False,False
Jordan Henderson,Brentford,Premier League,ENG,MF,35.0,30,1832,1,3,4,0.0490196078431372,0.1470588235294117,0.196078431372549,0.2941176470588235,0.0490196078431372,0.0490196078431372,2.3529411764705883,0.3431372549019608,0.17,6.0,0.0,30.3,44.0,34.9,36.1,Deep-Lying Creator,False,False
Rafael Leão,Milan,Serie A,POR,FW,26.0,28,1828,9,3,12,0.4433497536945812,0.147783251231527,0.5911330049261083,3.103448275862069,1.1822660098522166,0.0,1.2315270935960592,1.6748768472906403,0.11,5.0,0.0,38.5,51.7,47.2,38.5,Winger,False,False
Breel Embolo,Rennes,Ligue 1,SUI,FW,29.0,30,1827,9,3,12,0.4433497536945812,0.147783251231527,0.5911330049261083,2.019704433497537,0.8866995073891625,0.0,0.3448275862068965,2.857142857142857,0.22,3.0,0.0,40.6,44.2,60.0,39.7,Target Forward,False,False
Che Adams,Torino,Serie A,SCO,FW,29.0,31,1826,5,2,7,0.2463054187192118,0.0985221674876847,0.3448275862068965,2.610837438423645,0.8866995073891625,0.0,0.689655172413793,0.7389162561576355,0.11,0.0,0.0,22.1,31.8,25.0,22.3,Target Forward,False,False
Mario Pašalić,Atalanta,Serie A,CRO,MF,31.0,31,1818,3,4,7,0.1485148514851485,0.198019801980198,0.3465346534653465,1.188118811881188,0.297029702970297,0.0495049504950495,0.5445544554455446,0.297029702970297,0.13,3.0,0.0,48.5,45.7,46.3,44.0,Deep-Lying Creator,False,False
Marcel Sabitzer,Dortmund,Bundesliga,AUT,MF,32.0,26,1817,1,2,3,0.0495049504950495,0.099009900990099,0.1485148514851485,0.99009900990099,0.198019801980198,0.099009900990099,1.831683168316832,0.8415841584158417,0.05,3.0,0.0,17.6,35.4,77.8,31.4,Deep-Lying Creator,False,False
Mats Wieffer,Brighton,Premier League,NED,DF,26.0,25,1813,2,3,5,0.099502487562189,0.1492537313432835,0.2487562189054726,0.8955223880597014,0.2985074626865671,0.099502487562189,0.8457711442786069,1.0945273631840795,0.11,8.0,0.0,81.1,75.2,54.7,57.1,Defensive Anchor,False,False
Josip Stanišić,Bayern Munich,Bundesliga,CRO,DF,26.0,25,1812,2,3,5,0.099502487562189,0.1492537313432835,0.2487562189054726,0.3482587064676616,0.1990049751243781,0.0497512437810945,1.7910447761194028,0.5472636815920398,0.29,1.0,0.0,56.4,81.7,38.1,42.5,Overlapping Fullback,False,False
Gonçalo Guedes,Real Sociedad,La Liga,POR,MF,29.0,31,1811,8,4,12,0.3980099502487562,0.1990049751243781,0.5970149253731343,2.288557213930348,0.8955223880597014,0.0,3.4825870646766166,1.6417910447761193,0.17,3.0,0.0,87.0,77.1,26.6,71.0,Winger,False,False
Manuel Neuer,Bayern Munich,Bundesliga,GER,GK,40.0,21,1800,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,32.7,82.0,Goalkeeper,False,False
Marc Guéhi,Crystal Palace,Premier League,ENG,DF,25.0,20,1800,2,2,4,0.1,0.1,0.2,0.75,0.2,0.1,0.5,0.9,0.13,4.0,0.0,73.6,63.4,62.6,60.5,Defensive Anchor,False,False
Antoine Semenyo,Bournemouth,Premier League,GHA,MF,26.0,20,1798,10,3,13,0.5,0.15,0.65,2.45,1.35,0.0,1.4,0.7,0.18,6.0,0.0,94.7,55.5,15.6,61.3,Winger,False,False
Haissem Hassan,Oviedo,La Liga,EGY,MF,24.0,34,1797,0,3,3,0.0,0.15,0.15,1.7,0.4,0.0,5.65,1.25,0.0,1.0,0.0,15.6,56.8,36.0,37.9,Winger,False,False
Anthony Gordon,Newcastle United,Premier League,ENG,FW,25.0,26,1795,6,2,8,0.3015075376884422,0.100502512562814,0.4020100502512563,2.412060301507538,1.0050251256281408,0.0,3.4673366834170856,2.0100502512562817,0.06,3.0,1.0,22.1,42.8,54.4,25.2,Winger,False,False
Brian Brobbey,Sunderland,Premier League,NED,FW,24.0,29,1791,6,1,7,0.3015075376884422,0.050251256281407,0.3517587939698492,1.809045226130653,0.9045226130653268,0.0,0.100502512562814,1.8592964824120604,0.19,6.0,0.0,30.9,15.1,51.7,27.8,Target Forward,False,False
Koni De Winter,Milan,Serie A,BEL,DF,23.0,25,1785,1,1,2,0.0505050505050505,0.0505050505050505,0.101010101010101,0.3535353535353535,0.0505050505050505,0.0505050505050505,0.2525252525252525,0.404040404040404,0.14,1.0,0.0,44.6,48.6,34.3,35.0,Defensive Anchor,False,False
Rafik Belghali,Hellas Verona,Serie A,ALG,MF,23.0,24,1775,2,0,2,0.1015228426395939,0.0,0.1015228426395939,1.065989847715736,0.3045685279187817,0.0507614213197969,3.045685279187817,0.5076142131979695,0.1,6.0,0.0,37.7,24.0,35.6,28.1,Winger,False,False
Marvin Senaya,Auxerre,Ligue 1,GHA,DF,25.0,24,1771,1,0,1,0.0507614213197969,0.0,0.0507614213197969,0.7614213197969544,0.2538071065989847,0.1522842639593908,2.1319796954314723,1.6243654822335023,0.07,5.0,0.0,61.9,51.1,79.5,69.4,Attacking Fullback,False,False
Lucas Digne,Aston Villa,Premier League,FRA,DF,32.0,30,1762,0,5,5,0.0,0.2551020408163265,0.2551020408163265,0.7142857142857142,0.2551020408163265,0.0510204081632653,5.5102040816326525,0.6122448979591836,0.0,3.0,0.0,35.1,97.5,36.7,39.9,Overlapping Fullback,False,False
Teun Koopmeiners,Juventus,Serie A,NED,DF,28.0,31,1761,0,0,0,0.0,0.0,0.0,1.4285714285714284,0.3571428571428571,0.0510204081632653,2.397959183673469,0.5612244897959183,0.0,5.0,0.0,51.1,53.3,26.3,30.7,Overlapping Fullback,False,False
Ibrahim Maza,Leverkusen,Bundesliga,ALG,MF,20.0,27,1759,3,4,7,0.1538461538461538,0.2051282051282051,0.358974358974359,2.769230769230769,0.8717948717948718,0.0512820512820512,3.282051282051282,1.8461538461538465,0.06,2.0,0.0,53.2,71.7,52.6,59.3,Winger,False,False
Pathé Ciss,Rayo Vallecano,La Liga,SEN,MF,32.0,25,1758,2,0,2,0.1025641025641025,0.0,0.1025641025641025,1.0256410256410255,0.4102564102564102,0.1538461538461538,0.0512820512820512,0.6666666666666666,0.1,9.0,2.0,41.9,8.3,68.1,24.4,Ball-Winning Midfielder,False,False
Lamine Camara,Monaco,Ligue 1,SEN,MF,22.0,23,1757,1,4,5,0.0512820512820512,0.2051282051282051,0.2564102564102564,1.2820512820512822,0.2051282051282051,0.1538461538461538,5.17948717948718,2.4615384615384617,0.12,6.0,0.0,30.2,73.8,73.5,54.8,Winger,False,False
Youri Tielemans,Aston Villa,Premier League,BEL,MF,29.0,23,1755,0,4,4,0.0,0.2051282051282051,0.2051282051282051,1.2307692307692308,0.358974358974359,0.0512820512820512,2.3076923076923075,2.051282051282051,0.0,0.0,0.0,14.4,61.5,59.0,75.0,Deep-Lying Creator,False,False
Nick Woltemade,Newcastle United,Premier League,GER,FW,24.0,31,1752,7,3,10,0.358974358974359,0.1538461538461538,0.5128205128205128,1.641025641025641,0.6666666666666666,0.0,0.1538461538461538,1.0256410256410255,0.22,0.0,0.0,32.6,39.9,32.2,31.5,Target Forward,False,False
Jonathan David,Juventus,Serie A,CAN,FW,26.0,34,1752,6,4,10,0.3076923076923077,0.2051282051282051,0.5128205128205128,2.102564102564102,0.8205128205128205,0.0,0.4102564102564102,1.3333333333333333,0.15,0.0,0.0,25.8,51.2,39.7,28.4,Target Forward,False,False
Daichi Kamada,Crystal Palace,Premier League,JPN,MF,29.0,25,1751,0,0,0,0.0,0.0,0.0,0.9743589743589745,0.2051282051282051,0.0512820512820512,2.1538461538461537,1.435897435897436,0.0,3.0,0.0,8.9,25.0,47.4,20.2,Deep-Lying Creator,False,False
Fares Chaïbi,Eintracht Frankfurt,Bundesliga,ALG,MF,23.0,27,1747,2,9,11,0.1030927835051546,0.4639175257731959,0.5670103092783506,1.8041237113402064,0.4639175257731959,0.0515463917525773,4.690721649484536,1.082474226804124,0.06,2.0,0.0,38.0,82.7,53.6,60.1,Advanced Playmaker,False,False
Borja Iglesias,Celta Vigo,La Liga,ESP,FW,33.0,32,1744,14,2,16,0.7216494845360826,0.1030927835051546,0.8247422680412372,2.3711340206185567,1.3402061855670104,0.0,0.1546391752577319,1.5463917525773196,0.22,7.0,0.0,64.0,41.9,44.4,55.9,Pure Goal Scorer,False,False
Tajon Buchanan,Villarreal,La Liga,CAN,MF,27.0,32,1743,7,1,8,0.3608247422680413,0.0515463917525773,0.4123711340206186,1.3917525773195878,0.5670103092783506,0.1030927835051546,1.7010309278350515,1.855670103092784,0.26,8.0,0.0,82.4,47.1,64.4,57.3,Deep-Lying Creator,False,False
Nikola Moro,Bologna,Serie A,CRO,MF,28.0,27,1743,2,0,2,0.1030927835051546,0.0,0.1030927835051546,1.082474226804124,0.1030927835051546,0.0515463917525773,2.525773195876289,0.8762886597938145,0.1,1.0,0.0,32.3,25.4,57.8,29.1,Winger,False,False
Silvan Widmer,Mainz 05,Bundesliga,SUI,MF,33.0,26,1743,2,1,3,0.1030927835051546,0.0515463917525773,0.1546391752577319,1.0309278350515465,0.2061855670103093,0.0515463917525773,1.907216494845361,0.5670103092783506,0.1,5.0,0.0,35.8,26.3,40.2,29.0,Deep-Lying Creator,False,False
Amadou Onana,Aston Villa,Premier League,BEL,MF,24.0,24,1740,2,0,2,0.1036269430051813,0.0,0.1036269430051813,0.9844559585492229,0.3626943005181347,0.0518134715025906,0.0,1.2953367875647668,0.11,3.0,0.0,43.6,12.7,49.2,78.0,Deep-Lying Creator,True,True
Jude Bellingham,Real Madrid,La Liga,ENG,MF,22.0,25,1730,4,4,8,0.2083333333333333,0.2083333333333333,0.4166666666666667,2.65625,1.3541666666666667,0.0520833333333333,0.8333333333333334,2.864583333333333,0.12,3.0,0.0,76.0,66.4,49.7,86.0,Box-to-Box Midfielder,True,True
